Zone,State,City,Destination,Category,HoursNeeded,Rating,EntranceFee,HasAirport,Significance,BestTime,FocusTrait
Northern,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,Yes,Historical,Evening,Culture
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,2.0,4.5,30,Yes,Historical,Afternoon,Culture
Northern,Delhi,Delhi,Akshardham Temple,Temple,5.0,4.6,60,Yes,Religious,Afternoon,Culture
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2.0,4.1,50,Yes,Environmental,Evening,Culture
Northern,Delhi,Delhi,Jantar Mantar,Observatory,2.0,4.2,15,Yes,Scientific,Morning,Culture
Northern,Delhi,Delhi,Chandni Chowk,Market,3.0,4.2,0,Yes,Market,Afternoon,Culture
Northern,Delhi,Delhi,Lotus Temple,Temple,1.0,4.5,0,Yes,Religious,Evening,Culture
Northern,Delhi,Delhi,Red Fort,Fort,2.0,4.5,35,Yes,Historical,Afternoon,Culture
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1.0,4.2,0,Yes,Historical,Afternoon,Culture
Northern,Delhi,Delhi,Sunder Nursery,Park,2.0,4.6,0,Yes,Botanical,Afternoon,Culture
Northern,Delhi,Delhi,Garden of Five Senses,Park,2.0,4.1,35,Yes,Botanical,Morning,Culture
Northern,Delhi,Delhi,Lodhi Garden,Park,1.0,4.5,0,Yes,Botanical,All,Culture
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,3.0,4.5,20,Yes,Artistic,All,Culture
Northern,Delhi,Delhi,National Zoological Park ,Zoo,3.0,4.1,80,Yes,Environmental,All,Culture
Northern,Delhi,Delhi,Qutub Minar,Monument,1.0,4.5,35,Yes,Historical,Afternoon,Culture
Northern,Delhi,Delhi,National Science Centre,Science,5.0,4.4,70,Yes,Scientific,All,Culture
Western,Maharastra,Mumbai,Marine Drive,Promenade,2.0,4.5,0,Yes,Scenic,Evening,Culture
Western,Maharastra,Mumbai,Gateway of India,Monument,1.0,4.6,0,Yes,Historical,All,Culture
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1.0,4.6,500,Yes,Historical,All,Culture
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3.0,4.3,50,Yes,Wildlife,All,Nature
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2.0,4.8,0,Yes,Religious,All,Culture
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2.0,4.4,0,Yes,Religious,All,Culture
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,2.0,4.3,0,Yes,Recreational,Evening,Nature
Western,Maharastra,Mumbai,Essel World,Amusement Park,5.0,4.3,1149,Yes,Recreational,All,Thrills
Western,Maharastra,Mumbai,Elephanta Caves,Monument,4.0,4.3,550,Yes,Historical,All ,Culture
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,5.0,1.4,1149,No,Recreational,All,Thrills
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,2.0,4.2,500,Yes,Historical,Morning,Culture
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,20,Yes,Nature,Evening,Culture
Southern,Karnataka,Bangalore,Cubbon Park,Park,1.0,4.4,0,Yes,Nature,Morning,Culture
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,Yes,Architectural,Morning,Culture
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1.0,4.6,0,Yes,Religious,Evening,Culture
Southern,Telangana,Hyderabad,Charminar,Landmark,1.0,4.5,25,Yes,Historical,Morning,Culture
Southern,Telangana,Hyderabad,Golconda Fort,Fort,2.0,4.4,30,Yes,Historical,Morning,Culture
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1.0,4.3,0,Yes,Scenic,Evening,Nature
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.0,4.4,1150,Yes,Entertainment,All,Culture
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,2.0,4.4,20,Yes,Historical,All,Culture
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1.0,4.4,25,Yes,Historical,Morning,Culture
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,4.4,80,Yes,Historical,Morning,Culture
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3.0,4.2,50,Yes,Wildlife,Morning,Culture
Southern,Telangana,Hyderabad,Lumbini Park,Park,1.0,4.1,20,Yes,Recreational,Evening,Culture
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Yes,Historical,Morning,Culture
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,0,Yes,Architectural,Anytime,Culture
Eastern,West Bengal,Kolkata,Indian Museum,Museum,2.0,4.6,50,Yes,Historical,Morning,Culture
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1.0,4.7,0,Yes,Religious,Morning,Culture
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1.0,4.4,0,Yes,Religious,Morning,Culture
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,3.0,4.1,2500,Yes,Sports,All,Culture
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,2.0,4.3,25,Yes,Wildlife,Afternoon,Culture
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,3.0,4.4,60,Yes,Educational,All,Culture
Eastern,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,0,Yes,Religious,Morning,Culture
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1.0,4.4,0,Yes,Historical,Afternoon,Culture
Southern,Goa,Goa,Calangute Beach,Beach,2.0,4.4,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1.0,4.5,0,Yes,Historical,Afternoon,Culture
Southern,Goa,Goa,Fort Aguada,Fort,1.5,4.2,0,Yes,Historical,Morning,Culture
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,3.0,4.6,500,Yes,Nature,Afternoon,Nature
Southern,Goa,Goa,Anjuna Beach,Beach,2.0,4.4,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Chapora Fort,Fort,1.0,4.2,0,Yes,Historical,Evening,Culture
Southern,Goa,Goa,Se Cathedral,Church,1.0,4.5,0,Yes,Historical,Afternoon,Culture
Southern,Goa,Goa,Baga Beach,Beach,2.0,4.5,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Arambol Beach,Beach,2.0,4.6,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Palolem Beach,Beach,2.0,4.6,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Colva Beach,Beach,2.0,4.3,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Miramar Beach,Beach,1.5,4.2,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Aguada Beach,Beach,2.0,4.5,0,Yes,Scenic,Evening,Nature
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,2.0,3.9,10,Yes,Wildlife,Afternoon,Culture
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,4.6,0,Yes,Historical,Morning,Culture
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2.0,4.7,0,No,Religious,Evening,Culture
Western,Gujarat,Junagadh,Gir National Park,National Park,3.0,4.5,3500,No,Wildlife,Morning,Nature
Western,Gujarat,Bhuj,White Desert,Site,2.5,4.6,0,Yes,Nature,Evening,Culture
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,2.0,4.4,200,Yes,Historical,Afternoon,Culture
Western,Gujarat,Somnath,Somnath Temple,Temple,2.0,4.8,0,No,Religious,Morning,Culture
